Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2022-12-30,"Dazed and Confused",5.9,"Tricky but not that bad! Only did P1 though",https://www.mountainproject.com/route/105721840/dazed-and-confused,1,"California > Joshua Tree National Park > Wonderland of Rocks > Wonderland South > Wonderland Valley > West Wonderland Valley > Lenticular Dome",2.9,-1,Lead,Onsight,Trad,,160,2400
2022-12-30,"Mental Physics",5.7,,https://www.mountainproject.com/route/105721795/mental-physics,2,"California > Joshua Tree National Park > Wonderland of Rocks > Wonderland South > Wonderland Valley > West Wonderland Valley > Lenticular Dome",3.4,-1,Follow,,Trad,,200,1800
2022-12-28,"Up & Over",5.3,,https://www.mountainproject.com/route/116663835/up-over,1,"California > Joshua Tree National Park > Indian Cove > Indian Cove Campground > Indian Cove CG West > Apparition Rock > Apparition Rock (Rear)",1.4,-1,Follow,,Trad,,60,1300
2022-12-28,"Full Day Runner",5.8,,https://www.mountainproject.com/route/114080142/full-day-runner,1,"California > Joshua Tree National Park > Indian Cove > Indian Cove Campground > Indian Cove CG West > Campfire Crag Area > Alpentine Wall",2.4,-1,Lead,Onsight,Trad,,75,2100
2022-12-28,Amsterdam,5.9,,https://www.mountainproject.com/route/108281593/amsterdam,1,"California > Joshua Tree National Park > Indian Cove > Indian Cove Campground > Indian Cove CG West > Apparition Rock > Apparition Rock (Rear)",2.4,-1,Lead,Onsight,Sport,,60,2400
2022-12-28,"Between the Sports",5.2,,https://www.mountainproject.com/route/116663755/between-the-sports,1,"California > Joshua Tree National Park > Indian Cove > Indian Cove Campground > Indian Cove CG West > Apparition Rock > Apparition Rock (Rear)",1.4,-1,Follow,,Trad,,50,1200
2022-12-27,"Double Crack",5.3,,https://www.mountainproject.com/route/105721759/double-crack,1,"California > Joshua Tree National Park > Indian Cove > Indian Cove Campground > Indian Cove CG East > Short Wall > Short Wall - Right Side",2.2,-1,Follow,,Trad,,30,1300
2022-12-27,"Hippo Paradise",5.9,,https://www.mountainproject.com/route/114030268/hippo-paradise,1,"California > Joshua Tree National Park > Indian Cove > Indian Cove Campground > Indian Cove CG East > Indian Palisades Corridor",2.3,-1,Lead,Onsight,Sport,,40,2400
2022-12-27,Kansas,5.7,,https://www.mountainproject.com/route/114030239/kansas,1,"California > Joshua Tree National Park > Indian Cove > Indian Cove Campground > Indian Cove CG East > Indian Palisades Corridor",2.4,3,Lead,Onsight,Sport,,70,1800
2022-12-27,"Serpent Scales",5.6,,https://www.mountainproject.com/route/105722323/serpent-scales,1,"California > Joshua Tree National Park > Indian Cove > Indian Cove Campground > Indian Cove CG East > Indian Palisades Corridor",2.3,2,Lead,Onsight,Sport,,80,1600
2022-12-27,Scaramouch,5.2,"Cory’s first trad lead!",https://www.mountainproject.com/route/105725515/scaramouch,1,"California > Joshua Tree National Park > Indian Cove > Indian Cove Campground > Indian Cove CG East > Feudal Wall > Feudal Wall (Left Side)",1.5,-1,Follow,,Trad,,80,1200
2022-12-26,"SW Corner",5.6,"Awesome! Super windy and chilly. Campsite-adjacent alpine route",https://www.mountainproject.com/route/105721747/sw-corner,1,"California > Joshua Tree National Park > Central Joshua Tree > Sheep Pass Area > Ryan Campground > Headstone Rock",3.4,-1,Lead,Onsight,Sport,,50,1600
2022-11-03,Hydroman,5.11a,"Very cool route!",https://www.mountainproject.com/route/107375220/hydroman,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > k. Hydroman Sector",3.3,-1,TR,,Sport,,,4600
2022-11-03,Econoline,5.8,,https://www.mountainproject.com/route/107394470/econoline,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > j. Train in Vain Sector",1.3,-1,TR,,Sport,,50,2100
2022-11-03,"The Sighting",5.8,,https://www.mountainproject.com/route/107383287/the-sighting,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > j. Train in Vain Sector",1.9,-1,TR,,Sport,,60,2100
2022-11-03,"Parabolic Corner (low variation)",5.9,,https://www.mountainproject.com/route/107386378/parabolic-corner-low-variation,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > k. Hydroman Sector",2.1,-1,Lead,,"Sport, TR",,50,2400
2022-10-15,"Clutch and Cruise",5.8+,,https://www.mountainproject.com/route/106078776/clutch-and-cruise,1,"New York > Adirondacks > B: Chapel Pond Pass > Beer Walls > Lower Beer Wall",2.6,-1,Lead,,Trad,,80,2200
2022-09-30,"Through the woods",5.9,,https://www.mountainproject.com/route/108812350/through-the-woods,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > f. Super Slab Sector",1.9,-1,Lead,Flash,Sport,,80,2400
2022-09-30,"Super Slab",5.10d,,https://www.mountainproject.com/route/107489926/super-slab,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > f. Super Slab Sector",3.0,-1,TR,,Sport,,90,3500
2022-09-30,"The Schisting","5.10a R",,https://www.mountainproject.com/route/108346144/the-schisting,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > g. Autumn Arch Sector",1.3,-1,TR,,Sport,,60,2600
2022-09-30,FR-Agile,5.9,,https://www.mountainproject.com/route/108346138/fr-agile,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > g. Autumn Arch Sector",1.9,-1,Lead,,Sport,,50,2400
2022-09-30,"Chillin' and Maxin'",5.10-,"Fell once!",https://www.mountainproject.com/route/107582622/chillin-and-maxin,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > g. Autumn Arch Sector",2.6,-1,Lead,Fell/Hung,Sport,,80,2700
2022-09-30,"Urban Daydreams",5.10d,,https://www.mountainproject.com/route/107375086/urban-daydreams,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > g. Autumn Arch Sector",2.6,-1,TR,,Sport,,80,3500
2022-09-30,"Where Eagles Dare",5.8+,,https://www.mountainproject.com/route/112888676/where-eagles-dare,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > g. Autumn Arch Sector",2.7,-1,Lead,Onsight,Sport,,80,2200
2022-09-17,"Got Choss",5.7,,https://www.mountainproject.com/route/110938664/got-choss,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > d. Zorro Wall",1.8,-1,Lead,Onsight,Sport,,40,1800
2022-09-17,"Bee Sting-Be Strong",5.7,,https://www.mountainproject.com/route/111905513/bee-sting-be-strong,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > d. Zorro Wall",1.7,-1,Lead,Onsight,Sport,,30,1800
2022-09-17,"The Sixth Element",5.6,,https://www.mountainproject.com/route/106931050/the-sixth-element,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > a. Main Wall",1.6,-1,Lead,Onsight,Sport,,30,1600
2022-09-17,"Hog Nose",5.10c,,https://www.mountainproject.com/route/106381109/hog-nose,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > a. Main Wall",2.5,-1,TR,,Sport,,40,3200
2022-09-17,"Itching to Climb",5.8,"Hung once near top!",https://www.mountainproject.com/route/106381102/itching-to-climb,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > a. Main Wall",2.7,-1,Lead,Fell/Hung,Sport,,40,2100
2022-09-17,"Triple S",5.2,,https://www.mountainproject.com/route/107297052/triple-s,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > c. Neophyte's Wall",1.1,-1,Solo,,Sport,,,1200
2022-09-17,"Whimpering Wookie",5.6,,https://www.mountainproject.com/route/107297056/whimpering-wookie,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > c. Neophyte's Wall",2.3,-1,Lead,Onsight,Sport,,,1600
2022-09-10,"In the Jungle",5.10a,,https://www.mountainproject.com/route/109907632/in-the-jungle,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor North > 1.5 Chimney of Horror Section > Trailside",2.8,-1,Lead,,Sport,,70,2600
2022-09-10,Crack-a-lackin',5.8,,https://www.mountainproject.com/route/109732883/crack-a-lackin,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor North > 1.5 Chimney of Horror Section > Trailside",2.7,-1,TR,,Sport,,30,2100
2022-09-10,Predator,5.10a,,https://www.mountainproject.com/route/109695971/predator,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor North > 1.5 Chimney of Horror Section > Trailside",3.2,-1,TR,,Sport,,60,2600
2022-09-10,"Chimney of horror",5.7+,,https://www.mountainproject.com/route/109695953/chimney-of-horror,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor North > 1.5 Chimney of Horror Section > Trailside",2.6,-1,Lead,Fell/Hung,Sport,,60,1900
2022-08-18,"Owen Spalding",5.4,Goddamn!,https://www.mountainproject.com/route/105814121/owen-spalding,1,"Wyoming > Grand Teton National Park > Grand Teton",3.4,-1,Solo,,"Trad, Alpine",,1560,1400
2022-08-05,"Beginner Slab",5.2,,https://www.mountainproject.com/route/107272232/beginner-slab,1,"Idaho > South Idaho > City of Rocks > Practice Rock",1.5,-1,Solo,,TR,,50,1200
2022-08-04,"Bath Time",5.6,"Wow! Maybe this was actually my first proper solo. ",https://www.mountainproject.com/route/121446119/bath-time,2,"Idaho > South Idaho > City of Rocks > Bath Rock > Bath Rock - East",2.4,-1,Solo,,Sport,,220,1600
2022-08-04,Cowboy,5.5,Wow!,https://www.mountainproject.com/route/105788842/cowboy,1,"Idaho > South Idaho > City of Rocks > Bath Rock > Bath Rock - East",3.1,-1,Solo,,Trad,,200,1500
2022-08-04,"Tree Start",5.5,"First real solo, I suppose! Took me a minute to find the descent…",https://www.mountainproject.com/route/106920506/tree-start,2,"Idaho > South Idaho > City of Rocks > Bath Rock > Bath Rock - East",2.0,-1,Solo,,Trad,,200,1500
2022-08-01,"For Madmen Only","5.7 R",,https://www.mountainproject.com/route/107226523/for-madmen-only,1,"Pennsylvania > South Central PA > Chickies Rock > Main Wall",2.4,-1,Lead,Onsight,TR,,105,1800
2022-08-01,"Witches Brew","5.3 PG13",,https://www.mountainproject.com/route/106463882/witches-brew,1,"Pennsylvania > South Central PA > Chickies Rock > Main Wall",2.6,-1,Lead,Onsight,Trad,,160,1300
2022-07-31,"Josh's Hump","5.7 PG13",,https://www.mountainproject.com/route/106464133/joshs-hump,1,"Pennsylvania > South Central PA > Chickies Rock > Main Wall",2.8,-1,Lead,Onsight,Trad,,200,1800
2022-07-31,"Main Street","5.6 PG13",,https://www.mountainproject.com/route/106464120/main-street,1,"Pennsylvania > South Central PA > Chickies Rock > Main Wall",2.4,-1,Lead,Onsight,Trad,,100,1600
2022-07-27,"Ape Call","5.7 PG13",,https://www.mountainproject.com/route/113536102/ape-call,1,"Pennsylvania > South Central PA > Chickies Rock > The Block",3.3,-1,Lead,Onsight,"Trad, TR",,50,1800
2022-07-27,"Chickies Direct","5.8 R",,https://www.mountainproject.com/route/113536130/chickies-direct,3,"Pennsylvania > South Central PA > Chickies Rock > Trail Valley",2.9,-1,Lead,Onsight,Trad,,250,2100
